"","sq1","sq105","sq109","sq12","sq18","sq2","sq24","sq3","sq32","sq33","sq41","sq52","sq6","sq66","sq7","sq73","sq79","sq81","sq83"
"612",5540,0,0,75,108,877,0,698,0,0,0,0,0,0,0,0,0,0,0
"614",5751,0,0,34,57,856,0,1145,0,0,0,0,0,0,0,0,0,0,0
"616",5075,0,0,139,109,1542,0,1629,50,0,0,0,0,0,0,0,0,0,0
"617",4041,0,0,58,0,626,0,619,22,0,0,0,0,3,0,0,0,0,0
"618",4183,0,0,58,77,1049,0,1127,49,0,0,0,507,0,0,0,0,0,0
"619",3703,0,0,34,0,649,0,608,0,0,0,0,0,0,0,0,0,0,0
"62",3581,0,0,0,0,509,0,244,0,0,0,0,0,5,0,0,0,0,0
"626",4988,0,0,37,0,720,0,442,22,0,0,0,0,0,0,0,0,0,0
"627",8631,0,0,28,0,543,0,748,0,0,0,63,0,0,0,0,0,0,0
"63",4780,0,0,34,0,650,0,375,0,0,0,0,0,0,0,0,0,0,0
"630",5162,0,0,45,0,602,0,585,34,0,0,0,0,0,0,0,0,0,0
"632",2893,0,0,75,60,774,0,1024,34,0,0,0,0,0,0,0,0,0,0
"633",2519,0,0,24,0,424,0,234,0,0,0,0,0,0,0,0,0,0,0
"65",2848,0,0,42,0,517,0,221,19,0,0,0,0,3,0,0,0,0,0
"70",3008,0,0,88,83,1226,0,527,36,0,0,0,0,5,2,0,0,0,0
"72",1469,0,0,0,0,216,0,101,0,0,0,0,0,0,0,0,0,0,0
"73",7538,0,0,73,76,1208,0,917,0,0,0,0,0,0,0,0,0,0,0
"76",192,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",2276,0,0,28,0,388,0,129,0,0,0,0,0,0,13,0,0,0,0
"96",3427,0,0,18,0,466,0,169,0,0,0,0,0,0,0,0,0,0,0
"97",3295,0,0,0,0,309,0,166,23,0,0,0,0,0,0,0,0,0,0
"98",1380,0,0,19,0,199,0,79,0,0,0,0,0,0,353,0,0,0,0
