"","Sample","Observed","Shannon","InvSimpson","Site","X.DNA...ng.ul.","island","direction","zone","site","site_zone","DNAcon","zoox","obs.norm"
"64","608",7,1.06631277459875,2.22072065530773,"Moorea SE Outer",513,"Moorea","SE","Forereef","MSE","MSE-F",512.8,"y",1.31581752981539
"65","609",5,0.806657800012499,1.73240811261596,"Moorea SE Outer",199,"Moorea","SE","Forereef","MSE","MSE-F",198.9,"y",-0.162911348622918
"66","612",5,0.798161843487221,1.67157259251162,"Moorea SE Outer",345,"Moorea","SE","Forereef","MSE","MSE-F",344.5,"y",-0.162911348622918
"67","614",5,0.791627795101209,1.70902335529483,"Moorea SE Outer",198,"Moorea","SE","Forereef","MSE","MSE-F",197.6,"y",-0.162911348622918
"68","616",6,1.0763456660276,2.31824775640428,"Moorea SE Outer",348,"Moorea","SE","Forereef","MSE","MSE-F",347.7,"y",0.62890421763219
"69","617",6,0.817276837133987,1.738513496969,"Moorea SE Outer",299,"Moorea","SE","Forereef","MSE","MSE-F",298.6,"y",0.62890421763219
"70","618",7,1.20073712392277,2.44856640690913,"Moorea SE Outer",214,"Moorea","SE","Forereef","MSE","MSE-F",214,"y",1.31581752981539
"71","619",4,0.77799189966879,1.71728315825208,"Moorea SE Outer",281,"Moorea","SE","Forereef","MSE","MSE-F",281.2,"y",-1.04913139796397
"72","62",4,0.554128941727844,1.39502692840728,"Moorea NW Inner",205,"Moorea","NW","Backreef","MNW","MNW-B",205.2,"y",-1.04913139796397
"73","626",5,0.67922937175298,1.52384551351136,"Moorea SE Outer",120,"Moorea","SE","Forereef","MSE","MSE-F",110.4,"y",-0.162911348622918
"74","627",5,0.54895880586701,1.35715524268146,"Moorea SE Outer",325,"Moorea","SE","Forereef","MSE","MSE-F",324.5,"y",-0.162911348622918
"75","63",4,0.607518132161821,1.4451953867571,"Moorea NW Inner",784,"Moorea","NW","Backreef","MNW","MNW-B",748.3,"y",-1.04913139796397
"76","630",5,0.650750070689948,1.46937982089693,"Moorea SE Outer",239,"Moorea","SE","Forereef","MSE","MSE-F",238.6,"y",-0.162911348622918
"77","632",6,1.09051226887966,2.38750773110757,"Moorea SE Outer",152,"Moorea","SE","Forereef","MSE","MSE-F",151.7,"y",0.62890421763219
"78","633",4,0.705604598423048,1.58973018013047,"Moorea SE Outer",211,"Moorea","SE","Forereef","MSE","MSE-F",210.5,"y",-1.04913139796397
"79","65",6,0.738431257643397,1.59384051958089,"Moorea NW Inner",79,"Moorea","NW","Backreef","MNW","MNW-B",78.7,"y",0.62890421763219
"80","70",8,1.01022019266925,2.15577852937764,"Moorea NW Inner",729,"Moorea","NW","Backreef","MNW","MNW-B",729.7,"y",1.88950996033343
"81","73",5,0.748522581546875,1.60479982563701,"Moorea NW Inner",742,"Moorea","NW","Backreef","MNW","MNW-B",742.4,"y",-0.162911348622918
"82","89",5,0.665468820542289,1.51327030127356,"Moorea NW Inner",231,"Moorea","NW","Backreef","MNW","MNW-B",231.2,"y",-0.162911348622918
"83","96",4,0.518655320872232,1.35105041859757,"Moorea NW Inner",168,"Moorea","NW","Backreef","MNW","MNW-B",176.7,"y",-1.04913139796397
"84","97",4,0.480820054242869,1.29926730614264,"Moorea NW Inner",104,"Moorea","NW","Backreef","MNW","MNW-B",104.1,"y",-1.04913139796397
"85","98",5,0.966239101438132,1.99130963482637,"Moorea NW Inner",476,"Moorea","NW","Backreef","MNW","MNW-B",476.1,"y",-0.162911348622918
