"","site","place","zone","coral_id","square1","square2","square3","coral1","coral2","coral3","notes","X","X.1","square","coral","size"
"83","MNWO","MNW","O",172,26818,24660,26332,1513054,1575297,1601037,"",NA,NA,25936.6666666667,1563129.33333333,241.0686544146
"84","MSEI","MSE","I",307,56630,57995,57600,1538228,1458268,1490564,"",NA,NA,57408.3333333333,1495686.66666667,104.213906227319
"85","MSEI","MSE","I",305,40229,42195,39204,1553619,1543712,1566820,"",NA,NA,40542.6666666667,1554717,153.390699509981
"86","MNWO","MNW","O",100,69856,70662,70637,1563348,1552760,1555152,"",NA,NA,70385,1557086.66666667,88.4896876701949
"87","MNWO","MNW","O",103,42379,43224,42876,1589334,1581607,1598432,"",NA,NA,42826.3333333333,1589791,148.487239159707
"88","MNWI","MNW","I",89,34656,36896,35928,1633738,1598441,1613507,"multiple corals (largest one was measured)",NA,NA,35826.6666666667,1615228.66666667,180.338146631932
"89","MNWI","MNW","I",58,57456,60137,58375,1642627,1672365,1711756,"",NA,NA,58656,1675582.66666667,114.26504819058
"90","MNWI","MNW","I",76,71712,74205,76434,1746608,1750228,1734065,"",NA,NA,74117,1743633.66666667,94.1016860729207
"91","MNWO","MNW","O",104,44143,44457,45225,1780426,1773525,1796292,"",NA,NA,44608.3333333333,1783414.33333333,159.917593872595
"92","TI","T","I",545,31590,31753,31729,1846808,1834545,1850375,"",NA,NA,31690.6666666667,1843909.33333333,232.738471894985
"93","TI","T","I",505,30642,28926,28713,1898699,1839172,1845196,"",NA,NA,29427,1861022.33333333,252.96799990938
"94","MSEI","MSE","I",276,15177,15907,15090,1955501,1943501,1917961,"",NA,NA,15391.3333333333,1938987.66666667,503.91674968597
"95","MNWI","MNW","I",63,36174,36036,37839,1957611,1972013,1948005,"",NA,NA,36683,1959209.66666667,213.63679815355
"96","MNWO","MNW","O",102,22446,22631,22746,1980107,1905013,1846326,"Picture found in inner NW folder",NA,NA,22607.6666666667,1910482,338.023738259882
