"","id","Shannon","InvSimpson","row","col","fullname","sample","full_site","island","site","zone","site_zone"
"43","D7",1.56854734205703,3.48717762134645,"D",7,"TO_D7",394,"Tahiti Outer","Tahiti","TNW","out","TO"
"44","D8",2.04106968418909,4.33879579849053,"D",8,"TO_D8",416,"Tahiti Outer","Tahiti","TNW","out","TO"
"45","D9",2.09943967773687,4.03489713584596,"D",9,"MSEI_D9",301,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"46","E1",2.54904402688621,5.2760749932106,"E",1,"MNWI_E1",63,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"47","E10",1.91283798656742,4.21292538222651,"E",10,"MSEI_E10",316,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"48","E11",2.05582042722004,4.46034561663343,"E",11,"MSEO_E11",609,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"49","E12",2.30870637717485,6.11160816525472,"E",12,"MSEO_E12",627,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"50","E2",2.50141683275317,4.92463601873894,"E",2,"MNWI_E2",96,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"51","E3",2.88910665098928,9.92773193102694,"E",3,"MNWO_E3",130,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"52","E4",2.55668952312795,6.51288480303535,"E",4,"MNWO_E4",177,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"53","E5",1.03070716767319,1.57262508604206,"E",5,"TI_E5",511,"Tahiti Inner","Tahiti","TNW","in","TI"
"54","E6",1.88615750352999,3.88021153720243,"E",6,"TI_E6",533,"Tahiti Inner","Tahiti","TNW","in","TI"
"55","E7",1.54649512399385,3.48184507533745,"E",7,"TO_E7",397,"Tahiti Outer","Tahiti","TNW","out","TO"
"56","E8",1.65184207125476,3.30400770334899,"E",8,"TO_E8",418,"Tahiti Outer","Tahiti","TNW","out","TO"
"57","E9",1.65646829553673,3.33029472896869,"E",9,"MSEI_E9",303,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"58","F1",2.04114932690968,4.32193940879117,"F",1,"MNWI_F1",65,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"59","F10",1.59237672208553,3.17967734396424,"F",10,"MSEI_F10",351,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"60","F11",2.37311900063668,7.51483266829189,"F",11,"MSEO_F11",612,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"61","F12",2.0810784216729,4.81674048776076,"F",12,"MSEO_F12",630,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"62","F2",2.76754997377324,5.08615191136671,"F",2,"MNWI_F2",97,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"63","F3",2.44273271056727,4.84817046740878,"F",3,"MNWO_F3",157,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"64","F4",2.08916390606315,4.15410782815208,"F",4,"MNWO_F4",178,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"65","F5",2.17647737146166,5.08635955546333,"F",5,"TI_F5",513,"Tahiti Inner","Tahiti","TNW","in","TI"
"66","F6",1.9163384800268,3.74565312925897,"F",6,"TI_F6",539,"Tahiti Inner","Tahiti","TNW","in","TI"
"67","F7",1.6451450056046,3.29484266916657,"F",7,"TO_F7",400,"Tahiti Outer","Tahiti","TNW","out","TO"
"68","F8",1.7718686633397,3.20195818331268,"F",8,"TO_F8",421,"Tahiti Outer","Tahiti","TNW","out","TO"
"69","F9",1.53708091266669,3.82110091743119,"F",9,"MSEI_F9",304,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"70","G1",2.46854732944323,6.55894100830843,"G",1,"MNWI_G1",70,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"71","G10",1.70620153097317,4.11802155958323,"G",10,"MSEI_G10",377,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"72","G11",1.7696068969678,4.16872090151031,"G",11,"MSEO_G11",614,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"73","G12",2.04292311510417,3.02508984895416,"G",12,"MSEO_G12",632,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"74","G2",2.30992714212923,4.7038094471285,"G",2,"MNWI_G2",98,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"75","G3",1.8537355490994,3.83337678365949,"G",3,"MNWO_G3",158,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"76","G4",1.69291746720439,3.31250664700232,"G",4,"MNWO_G4",179,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"77","G5",2.29860286813684,5.15183056657441,"G",5,"TI_G5",516,"Tahiti Inner","Tahiti","TNW","in","TI"
"78","G6",1.70798667166703,3.71893935725103,"G",6,"TI_G6",540,"Tahiti Inner","Tahiti","TNW","in","TI"
"79","G7",2.33303979553147,4.96142072370945,"G",7,"TO_G7",402,"Tahiti Outer","Tahiti","TNW","out","TO"
"80","G8",2.03580620730775,4.48580179211205,"G",8,"TO_G8",425,"Tahiti Outer","Tahiti","TNW","out","TO"
"81","G9",1.14563814200974,1.75961704048992,"G",9,"MSEI_G9",305,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"82","H1",2.2283543855737,5.45324994402895,"H",1,"MNWI_H1",72,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"83","H10",1.91294340199192,3.59002030208053,"H",10,"MSEI_H10",378,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"84","H11",2.87625486848357,7.88677694905122,"H",11,"MSEO_H11",616,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"85","H12",3.01845567513532,10.0215743687469,"H",12,"MSEO_H12",633,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"86","H2",1.28409957415957,2.65175400379874,"H",2,"MNWI_H2",101,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"87","H3",1.45663571876119,2.21011092784035,"H",3,"MNWO_H3",159,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"88","H4",2.26247991444718,4.37908087217314,"H",4,"MNWO_H4",180,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"89","H5",1.77712496745443,3.35192276759804,"H",5,"TI_H5",517,"Tahiti Inner","Tahiti","TNW","in","TI"
"90","H6",2.04955290428278,4.52796694080262,"H",6,"TI_H6",545,"Tahiti Inner","Tahiti","TNW","in","TI"
"91","H7",1.30204685251549,2.64686836599609,"H",7,"TO_H7",405,"Tahiti Outer","Tahiti","TNW","out","TO"
"92","H8",1.91427543592433,4.02600804589619,"H",8,"TO_H8",427,"Tahiti Outer","Tahiti","TNW","out","TO"
"93","H9",1.74251179296629,3.82220852752414,"H",9,"MSEI_H9",307,"Moorea SE Inner","Moorea","MSE","in","MSEI"
