"","sq1","sq2","sq3","sq5","sq7","sq8","sq9","sq10","sq11","sq12","sq13","sq14","sq15","sq16","sq17","sq18","sq19","sq20","sq22","sq23","sq24","sq26","sq29","sq30","sq31","sq32","sq35","sq36","sq37","sq38","sq39","sq40","sq41","sq42","sq43","sq44","sq45","sq46","sq47","sq48","sq49","sq50","sq51","sq52","sq53","sq54","sq55","sq56","sq57","sq59","sq60","sq61","sq63","sq65","sq67","sq68","sq70","sq71","sq72","sq73","sq74","sq75","sq76","sq77","sq79","sq81","sq82","sq83","sq84","sq87","sq88","sq89","sq90","sq91","sq92","sq93","sq94","sq96","sq97","sq98","sq99","sq100","sq101","sq102","sq103","sq104","sq105","sq106","sq108","sq110","sq112","sq113","sq114","sq115","sq116","sq117","sq118","sq119","sq120","sq121","sq122","sq123","sq124","sq126","sq127","sq128","sq129","sq130","sq131","sq132","sq133","sq134","sq135","sq136","sq137","sq138","sq139","sq141","sq142","sq143","sq144","sq145","sq146","sq147","sq148","sq149","sq150","sq151","sq152","sq153","sq154","sq155","sq157","sq158","sq159","sq160","sq161","sq162","sq163","sq164","sq165","sq166","sq168","sq169","sq170","sq171","sq172","sq173","sq174","sq175","sq176","sq177","sq178","sq179","sq180","sq181","sq183","sq184","sq185","sq186","sq187","sq188","sq189","sq190","sq191","sq192","sq193","sq194","sq195","sq196","sq201","sq203","sq204","sq206","sq207","sq208","sq209","sq210","sq211","sq212","sq213","sq214","sq216","sq217","sq218","sq219","sq220","sq221","sq222","sq225","sq226","sq227","sq228","sq229","sq230"
"C11",0,5764,22924,13,10831,78,405,83,455,151,18,82,136,133,218,0,0,24,0,41,47,0,0,0,0,191,0,16,0,14,0,101,44,0,0,0,0,0,21,0,0,0,0,0,40,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,31,0,0,0,11,0,0,150,59,19,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2",1552,4647,109,153,0,0,83,67,109,209,0,0,0,46,0,189,0,0,0,156,16,32,0,412,0,0,17,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,47,36,248,0,0,0,0,35,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,15,0,0,85,0,0,0,0,0,0,0,0,0,48,0,0,0,0,45,78,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,7,0,0,0,0,0,0,0,0,0,115,0,0,0,0,119,0,0,0,44,0,0,8,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,37,0
"C3",18383,5199,226,27,0,0,245,0,0,0,37,242,0,622,118,26,0,0,0,26,47,0,0,0,537,36,0,45,0,0,0,0,30,0,0,0,0,0,0,0,0,0,208,0,0,0,0,29,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4",8726,6020,178,24,0,0,216,0,0,65,0,0,0,0,60,0,0,0,0,56,86,0,0,23,0,0,0,17,0,0,82,51,0,0,87,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,45,81,41,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,28,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"C5",8595,6691,50,7,0,0,440,163,32,653,113,692,154,0,280,0,0,87,0,147,132,43,0,20,0,163,0,0,1282,0,0,111,205,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,57,0,0,0,245,0,0,0,0,0,0,186,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C6",4882,1735,15132,4,0,0,90,0,44,0,15,0,33,0,33,118,0,23,16,19,38,0,0,0,16,3,0,0,1776,0,0,0,35,0,0,0,0,0,0,0,151,0,0,0,0,29,0,0,0,0,0,56,0,14,5,0,0,0,0,0,0,51,0,0,0,0,42,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,17,0,0,0,0,15,0,0,0,11,0,0,0,0,0,0,0,0,14,0,0,0,11,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,99,5,0,0,0,0,0
"C7",6824,6226,28,9,0,0,182,0,0,38,13,0,0,207,147,130,0,0,0,4,133,23,0,0,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,35,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,43,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C8",4539,4259,1165,0,0,0,141,45,0,640,57,0,0,0,65,0,0,10,247,8,38,105,0,0,0,33,0,0,0,0,0,24,0,0,134,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C9",7381,4768,19110,25,0,0,332,573,1037,62,44,44,0,208,82,210,0,0,109,28,71,24,0,0,41,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,10,0,0,0,0,61,22,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D1",4458,6639,917,13,0,0,555,85,4,81,0,0,0,0,93,0,0,0,0,37,123,0,0,1501,0,56,0,3,0,0,0,33,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,116,0,136,18,0,355,0,26,55,0,0,0,0,0,84,0,0,466,0,0,5,0,0,0,0,0,0,0,0,40,0,0,214,0,0,0,18,0,0,0,0,0,28,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,147,10,0,0,0,0,0,43,0,0,43,24,0,0,0,36,161,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,11,0,0,0,0,27,0,0,18,0,0,0,0,0,0,0,55,0,0,0,0,0,0,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
"D10",16227,6750,8470,89,0,0,776,0,0,0,59,0,0,418,194,0,0,0,0,76,241,0,7,0,0,39,0,0,0,30,0,0,0,14,0,0,0,0,0,0,0,0,0,32,0,60,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,63,0,50,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,10,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,9,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D11",9240,5560,1715,0,0,46,124,96,95,199,0,0,286,265,189,246,0,0,0,71,110,85,0,0,0,0,0,21,0,0,0,37,0,0,0,0,0,0,78,0,0,0,0,0,67,128,0,0,0,0,120,25,0,172,0,24,0,0,10,0,0,0,0,21,0,0,0,0,0,0,0,0,59,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,110,0,0,0,0,0,52,0,75,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,20,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"D12",0,5657,223,0,5871,44,678,65,30,5,148,0,88,0,154,0,0,257,0,0,101,0,0,0,35,0,0,0,0,199,0,0,12,0,17,0,0,0,48,0,0,0,0,0,56,0,0,0,0,0,29,0,0,0,0,0,0,44,31,0,0,0,0,44,0,0,0,0,48,0,0,0,0,0,0,0,0,0,50,0,43,77,0,0,0,0,0,0,0,0,0,0,0,43,0,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D3",9159,5222,142,72,0,0,350,63,1283,48,29,106,0,0,166,299,0,0,0,0,43,36,0,0,709,47,0,0,0,0,0,0,44,0,0,0,0,0,105,76,305,0,166,0,0,0,0,0,0,0,0,16,0,0,63,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,44,0,0,13,0,0,0,0,87,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,0
"D4",2935,2758,2248,0,0,0,98,0,17,34,0,0,0,0,56,0,0,17,0,69,90,0,0,32,0,0,0,29,0,0,33,0,12,0,41,0,0,0,0,42,0,24,0,0,0,0,0,0,0,0,68,17,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,8,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,25,0,8,34,36,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D5",5108,5196,3104,0,0,0,422,56,0,185,67,718,53,0,101,239,0,55,0,133,50,231,0,0,0,92,0,16,0,0,0,66,0,0,0,0,0,0,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,129,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,16,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,0,0,0,38,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D6",5057,3616,63,0,0,0,201,64,97,46,3950,0,0,157,40,0,0,0,3309,23,36,42,0,0,0,0,0,0,0,0,0,0,0,25,121,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,33,0,0,0,0,0,0,0,0,0,18,110,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,21,0,0,0,0,353,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,13,41
"D7",6025,7278,6,0,0,0,57,2477,0,126,0,0,0,0,31,0,0,0,0,0,100,0,0,0,0,0,858,0,0,0,0,0,0,81,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D8",6697,5261,0,0,0,0,549,162,0,43,0,69,23,49,163,267,0,12,0,156,0,64,0,0,0,44,0,0,0,0,0,56,0,66,0,0,0,0,651,0,0,0,0,0,0,0,0,119,0,117,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,42,0,0,0,0,0,0,0,13,7,15,0,74,0,0,0,0,0,0,0,0,22,0,0,116,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,75,0,0,0,0,0,0,0,0,0,0,0,34,29,60,0,0,44,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"D9",15309,7595,747,5,0,18,2097,75,256,0,0,0,0,444,43,191,0,0,0,68,79,255,0,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,321,0,0,0,0,0,0,0,0,98,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,624,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,27,0,0,0,0,62,0,0,0,0,18,0,0,0,0,33,0,0,0,0,0,35,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E1",9307,7171,142,21,0,8,427,48,0,88,0,0,0,0,246,0,0,0,0,0,71,34,0,842,0,0,0,0,0,0,0,154,0,53,19,0,1023,0,0,0,294,0,0,0,0,0,1446,0,0,0,160,0,209,0,0,0,0,0,0,0,0,69,0,0,226,467,0,0,0,0,0,96,0,0,0,0,20,0,0,65,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,24,0,0,0,0,0,0,0,32,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,16,0,39,30,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,10,0,0,0,0,0
"E10",5932,5259,6407,14429,0,26,497,0,50,0,0,0,293,127,122,0,0,231,0,181,43,0,0,0,0,0,0,14,0,314,0,0,0,56,22,0,0,0,3,0,0,0,0,0,119,87,0,0,0,0,89,0,0,0,0,0,0,0,0,97,0,0,0,49,0,0,0,0,14,25,50,0,0,14,0,0,0,0,43,0,0,0,244,0,0,0,40,0,66,85,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E11",7567,1542,8674,11,0,3206,69,0,191,61,11,0,25,0,60,0,461,27,0,0,51,9,375,0,0,0,0,14,0,16,0,0,5,0,80,0,125,0,25,514,163,4,0,0,17,56,0,0,0,0,11,14,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,58,8,0,0,0,11,0,0,0,0,0,0,0,0,0,9,14,9,0,0,0,9,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,12,0,30,0,0,14,0,0,0,10,0,26,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E12",5110,4231,1420,5,0,10030,241,25,114,8,31,5,333,0,122,0,1897,126,0,51,71,77,2121,0,0,46,0,30,0,58,0,46,44,0,22,0,0,0,14,0,0,0,0,0,46,0,0,0,0,0,0,6,0,0,0,83,0,0,0,0,0,0,0,53,0,0,0,0,0,95,0,0,0,44,0,0,18,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
"E2",4004,5018,393,8,0,0,190,206,4,77,60,0,0,0,0,122,0,0,0,61,64,79,0,54,280,0,107,0,0,0,0,45,241,0,0,0,13,0,144,22,0,0,43,0,0,0,0,260,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,49,0,0,0,0,224,20,0,0,0,0,0,0,0,39,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,94,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"E3",2177,4174,2520,104,0,0,174,78,539,2291,12,66,0,0,43,1836,0,0,0,101,14,0,0,0,0,18,0,0,0,0,40,0,0,0,0,0,0,0,41,0,0,915,0,0,0,0,0,0,0,0,0,145,0,447,0,15,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,13,0,0,38,0,69,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,322,0,0,67,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,20,0,0,0,0
"E4",6420,4672,462,4206,0,0,163,768,0,26,0,0,0,0,79,94,0,34,0,88,59,41,0,0,0,0,455,0,0,0,1372,36,37,0,0,0,0,0,55,0,0,705,0,0,0,0,0,0,0,0,103,13,0,419,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,25,0,43,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,40,0,41,0,0,173,0,0,0,0,0,0,21,0,0,0,0,0,0,0,128,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0
"E5",1711,2146,25466,9,0,0,35,103,15,100,105,187,49,60,58,0,0,9,261,92,0,173,0,0,0,44,0,13,0,4,0,0,34,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,24,0,0,0,0,0,0,18,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"E6",7228,1871,9012,0,0,8,54,50,660,45,64,49,38,88,48,23,0,216,274,0,23,111,0,0,0,9,0,0,0,0,0,21,92,0,0,0,0,0,8,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,4,0,35,0,0,0,0,0,0,0,0,0,12,0,0,0,17,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,10,0,0,0,101,0,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E7",7523,4954,26,5,0,0,360,37,6,100,0,0,0,0,128,0,0,0,0,0,26,47,0,0,0,29,0,0,0,0,0,0,0,0,67,0,0,0,36,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E8",0,5147,71,5,3586,62,314,71,45,0,0,0,0,0,180,0,0,75,0,214,29,0,0,0,0,27,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,10,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,20,18,0,0,0,0,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E9",38764,11752,14772,53,0,16,388,28,1972,269,154,0,75,384,547,0,0,0,52,11,53,141,0,0,0,48,0,0,0,0,0,91,0,0,444,0,0,0,63,0,0,0,0,1226,0,0,0,0,0,0,0,50,0,0,0,87,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,101,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,72,65,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F1",4257,6530,785,36,0,71,229,0,45,642,0,0,0,173,162,53,0,0,0,31,30,0,0,58,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,131,0,0,0,0,33,28,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,44,83,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
