"","sq1","sq2","sq3","sq5","sq7","sq8","sq9","sq10","sq11","sq12","sq13","sq14","sq15","sq16","sq17","sq18","sq19","sq20","sq22","sq23","sq24","sq26","sq29","sq30","sq31","sq32","sq35","sq36","sq37","sq38","sq39","sq40","sq41","sq42","sq43","sq44","sq45","sq46","sq47","sq48","sq49","sq50","sq51","sq52","sq53","sq54","sq55","sq56","sq57","sq59","sq60","sq61","sq63","sq65","sq67","sq68","sq70","sq71","sq72","sq73","sq74","sq75","sq76","sq77","sq79","sq81","sq82","sq83","sq84","sq87","sq88","sq89","sq90","sq91","sq92","sq93","sq94","sq96","sq97","sq98","sq99","sq100","sq101","sq102","sq103","sq104","sq105","sq106","sq108","sq110","sq112","sq113","sq114","sq115","sq116","sq117","sq118","sq119","sq120","sq121","sq122","sq123","sq124","sq126","sq127","sq128","sq129","sq130","sq131","sq132","sq133","sq134","sq135","sq136","sq137","sq138","sq139","sq141","sq142","sq143","sq144","sq145","sq146","sq147","sq148","sq149","sq150","sq151","sq152","sq153","sq154","sq155","sq157","sq158","sq159","sq160","sq161","sq162","sq163","sq164","sq165","sq166","sq168","sq169","sq170","sq171","sq172","sq173","sq174","sq175","sq176","sq177","sq178","sq179","sq180","sq181","sq183","sq184","sq185","sq186","sq187","sq188","sq189","sq190","sq191","sq192","sq193","sq194","sq195","sq196","sq201","sq203","sq204","sq206","sq207","sq208","sq209","sq210","sq211","sq212","sq213","sq214","sq216","sq217","sq218","sq219","sq220","sq221","sq222","sq225","sq226","sq227","sq228","sq229","sq230"
"B12",5733,2161,23838,113,0,24,123,0,113,44,23,0,72,0,118,7,0,29,10,0,13,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,25,0,0,0,0,48,0,0,31,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"B2",4525,7245,693,0,0,0,95,98,96,196,0,150,0,141,0,343,0,0,0,263,59,85,0,1327,0,83,101,0,0,0,0,76,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,190,0,415,0,0,0,0,28,0,0,0,79,0,0,170,0,27,0,0,0,0,0,16,0,0,0,37,0,0,275,0,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,5,0,0,116,230,0,0,0,47,0,0,35,0,0,138,0,0,0,0,105,66,0,39,0,0,60,50,0,0,57,0,0,0,0,375,0,0,0,0,0,0,0,0,197,0,0,22,0,0,0,0,0,0,0,15,0,99,0,0,0,0,90,0,0,0,89,0,0,0,0,0,0,30,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3",2227,2868,6753,0,0,0,188,318,217,28,0,129,0,92,0,107,0,0,0,61,54,0,0,0,297,44,0,8,0,0,0,0,616,0,0,0,0,0,8,0,0,0,38,0,0,0,0,444,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,82,0,0,18,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,4,0,0,17,10,55,0,0,0,0,0,0,23,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4",7182,7122,3322,10,0,0,281,0,0,29,0,321,0,127,145,167,0,0,58,46,139,129,0,0,53,17,0,0,0,0,0,0,0,0,0,0,0,0,106,41,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,27,0,0,0,0,0,10,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B6",6031,3190,543,49,0,0,25,442,587,0,9,0,0,134,0,103,0,0,34,45,43,996,0,0,0,18,306,0,0,0,0,0,0,90,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,43,42,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B7",4066,6634,23,0,0,0,279,86,0,138,0,0,0,0,174,55,0,0,0,122,48,0,0,0,0,33,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B8",3088,4329,9,64,0,0,183,93,76,74,28,0,0,0,203,108,0,0,0,0,87,41,0,0,69,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B9",4694,5834,102,14,0,0,215,2786,0,695,0,0,0,0,217,299,0,75,86,62,61,62,0,0,99,27,0,24,0,0,0,44,0,1205,0,0,0,0,0,0,148,0,0,48,0,426,0,91,0,0,0,69,0,0,0,0,29,48,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,521,0,20,81,0,230,0,0,0,45,0,21,0,36,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,225,0,16,0,0,50,0,0,0,0,0
"C1",2053,1337,152,22878,0,0,81,0,0,0,0,0,0,0,37,0,0,0,0,4,21,0,0,83,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,34,0,0,0,13,0,0,0,0,11,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C10",16170,4910,480,10855,0,30,112,1504,95,42,167,0,34,236,0,380,0,0,23,0,31,75,0,0,0,36,513,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,25,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,109,0,0,0,0,0,0,0,0,0,0,167,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
