sqs,A1,A10,A11,A12,A2,A3,A5,A6,A7,A9,B1,B10,B11,B12,B2,B3,B4,B6,B7,B9,C1,C10,C11,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D3,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H6,H7,H8,H9
sq18,14,0,56,0,42,0,0,65,55,9,595,11,16,2,200,76,99,94,55,180,0,117,0,9,0,0,63,103,0,66,0,0,138,0,180,158,0,0,209,74,0,0,0,0,108,1136,48,0,16,0,0,47,0,41,0,0,57,38,43,145,0,0,57,3,21,34,36,24,1,0,93,0,33,0,19,46,84,0,22,0,138,0,0,2
sq19,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,801,0,0,0,0,0,0,0,0,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0
sq20,0,10,63,170,0,0,203,0,0,0,0,318,106,12,0,0,0,0,0,38,0,0,5,0,0,56,15,0,9,0,0,0,0,214,0,37,0,0,10,0,0,84,16,55,0,0,18,8,126,0,0,0,24,25,61,0,0,0,145,627,13,0,0,0,61,42,0,0,0,0,156,0,42,0,0,6,676,99,0,0,34,0,0,2
sq22,0,0,0,10,0,0,0,16,62,15,0,0,14,5,0,0,38,33,0,50,0,7,0,0,0,0,6,0,240,36,0,0,0,0,0,0,2042,0,0,0,0,0,0,0,0,0,0,87,151,0,9,0,0,2,0,0,0,0,12,0,0,0,0,0,0,18,0,0,0,24,16,0,0,29,0,0,0,690,0,0,0,0,0,26
sq23,2,13,51,11,114,97,75,0,24,0,51,81,16,0,168,44,27,41,119,37,1,0,14,9,38,77,5,2,8,12,26,28,39,0,0,95,14,0,114,28,0,64,0,21,57,61,48,36,0,0,2,24,15,11,39,32,112,31,248,48,3,84,35,0,49,68,62,3,28,0,0,56,103,7,14,0,56,50,53,19,25,7,69,28
sq24,11,94,0,10,20,54,11,41,27,0,91,30,6,6,35,38,80,35,48,36,9,11,12,20,60,70,20,113,37,33,77,82,67,86,23,35,23,71,0,36,30,18,24,27,59,8,22,0,17,20,12,26,15,3,28,93,26,6,42,28,60,67,39,10,70,15,62,0,12,57,14,48,0,19,35,53,29,23,0,2,24,22,63,23
sq26,11,20,10,23,0,0,79,0,53,0,22,17,45,4,43,0,78,906,0,37,0,18,0,0,0,30,0,20,105,12,0,0,52,0,20,167,29,0,48,104,15,0,6,40,71,0,24,63,62,35,24,0,19,13,0,91,65,24,24,27,74,0,48,0,0,11,29,37,0,0,47,20,0,10,44,5,21,0,8,23,47,0,22,0
sq29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,157,942,0,0,0,0,0,0,0,0,0,777,18,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq30,0,0,0,5,63,10,0,0,0,0,65,0,0,0,767,0,0,0,0,0,38,0,0,0,14,16,0,0,0,0,980,0,0,0,0,0,0,0,0,0,357,0,0,0,53,0,0,0,0,0,0,52,0,0,0,55,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,19,0,0,0,0,0
sq31,0,0,0,17,0,7,0,0,0,0,0,0,0,0,0,224,32,0,0,54,0,0,0,220,0,0,9,26,0,12,0,0,0,33,423,0,0,0,0,267,0,0,0,0,255,0,0,0,0,0,0,0,1,0,0,613,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,36,0,0,0,0,27,0,16,0,0,0,0,0
sq32,24,168,55,22,65,0,28,0,0,0,8,41,59,0,49,30,13,15,32,16,0,13,50,20,0,94,0,0,33,0,33,14,0,0,24,60,0,0,32,0,0,0,0,18,0,14,0,20,4,20,12,33,6,0,14,25,77,20,100,23,0,0,42,8,19,16,0,0,10,21,14,0,95,9,48,3,141,62,0,126,60,6,40,20
sq35,11,0,0,0,67,0,0,0,83,0,589,0,0,0,59,0,0,282,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,94,0,238,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,44,0,0,0,0,0,0,6,0,0,0,0,0
sq36,0,20,11,8,0,21,8,15,0,0,3,0,0,0,0,5,0,0,0,12,0,0,4,20,11,0,0,1,0,0,1,0,12,0,0,11,0,0,0,0,0,4,5,16,0,0,0,6,0,0,0,0,0,6,1,0,16,0,0,0,16,12,1394,4,0,9,0,10,31,11,21,1,0,0,69,17,8,0,0,11,30,0,72,0
