"","paths","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","paths.noko","V3"
"1","ko00071",34386.4691947077,-0.0834865560250488,0.029377907435054,-2.84181425139327,0.00448576185980455,0.0826350433428899,"00071","Fatty acid degradation"
"2","ko00230",74324.9943638761,0.0578822463275948,0.0198933874141829,2.90962243495685,0.00361865619784163,0.0826350433428899,"00230","Purine metabolism"
"3","ko00240",45710.6213132152,0.0932516235923238,0.0327364492131972,2.84855645109888,0.00439180612540205,0.0826350433428899,"00240","Pyrimidine metabolism"
"4","ko00350",22626.2935418485,-0.0701591012904026,0.0249471698089094,-2.81230704034999,0.00491875257993392,0.0826350433428899,"00350","Tyrosine metabolism"
"5","ko00360",36908.8993012509,-0.0957112537083443,0.0372821428303935,-2.56721439386573,0.0102519204491863,0.0967551808818697,"00360","Phenylalanine metabolism"
"6","ko00361",8697.23695052872,-0.0960242335669641,0.0312314932298114,-3.07459630125229,0.00210787658233172,0.0826350433428899,"00361","Chlorocyclohexane and chlorobenzene degradation"
"7","ko00362",40030.1367051894,-0.104369334601755,0.0385226239143745,-2.70929973082155,0.00674253971784014,0.0871343594305495,"00362","Benzoate degradation"
"8","ko00364",4734.32403523459,-0.142065539087279,0.0449294839450571,-3.16196685590706,0.00156707399536993,0.0826350433428899,"00364","Fluorobenzoate degradation"
"9","ko00400",22875.9256111109,0.0549798864311935,0.0213161710968301,2.57925713682085,0.00990130537116201,0.0967551808818697,"00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"10","ko00410",22775.5346685101,-0.0804359146702448,0.0285205593706285,-2.82027829906732,0.00479820162944966,0.0826350433428899,"00410","beta-Alanine metabolism"
"11","ko00623",5788.04472058258,-0.14750388223422,0.0486257114770927,-3.03345447816651,0.00241771184501871,0.0826350433428899,"00623","Toluene degradation"
"12","ko00750",5970.25221905079,0.109820237198253,0.0390069480763497,2.81540193770859,0.00487162620194569,0.0826350433428899,"00750","Vitamin B6 metabolism"
"13","ko00970",79776.9830178235,0.0936135449691157,0.0361795979006921,2.58746781061723,0.00966842287486568,0.0967551808818697,"00970","Aminoacyl-tRNA biosynthesis"
"14","ko01212",46396.9748372075,-0.0424419290729504,0.0166294666788785,-2.55221228031666,0.0107041278389316,0.0967551808818697,"01212","Fatty acid metabolism"
"15","ko03010",61672.6202689722,0.115679651372575,0.0405552938696849,2.85239337050016,0.00433913673319058,0.0826350433428899,"03010","Ribosome"
"16","ko03030",14652.8455026601,0.11184289273222,0.0439542766501116,2.54452811548967,0.0109425502187829,0.0967551808818697,"03030","DNA replication"
"17","ko03060",15795.6085216111,0.110971394035841,0.0399691174261191,2.77642843230068,0.00549597333045765,0.0831509972953098,"03060","Protein export"
"18","ko03430",17026.3014612993,0.109790762130892,0.0431109704998303,2.5467012423514,0.0108746489284113,0.0967551808818697,"03430","Mismatch repair"
"19","ko03440",20787.3924698535,0.114588212510184,0.0416516182831593,2.75111069469574,0.00593935694966499,0.0831509972953098,"03440","Homologous recombination"
