"","s.in","s.out","index","stat","p.value","sqs"
"sq14",0,1,2,0.812353661324806,0.044,"sq14"
"sq30",1,0,1,0.921233154312091,0.001,"sq30"
"sq50",0,1,2,0.554700196225229,0.038,"sq50"
"sq60",1,0,1,0.747590629681975,0.044,"sq60"
"sq63",1,0,1,0.692763585444686,0.017,"sq63"
"sq65",0,1,2,0.554700196225229,0.038,"sq65"
"sq83",1,0,1,0.707106781186548,0.009,"sq83"
"sq90",0,1,2,0.671318773997175,0.015,"sq90"
"sq98",1,0,1,0.597614304667197,0.047,"sq98"
"sq126",1,0,1,0.707106781186548,0.01,"sq126"
