"","s.in","s.out","index","stat","p.value","padj","sqs"
"sq14",1,0,1,0.738572917575401,0.004,0.0848,"sq14"
"sq15",1,0,1,0.782133763207283,0.003,0.0848,"sq15"
"sq41",1,0,1,0.755928946018454,0.003,0.0848,"sq41"
"sq59",0,1,2,0.733799385705343,0.002,0.0848,"sq59"
"sq75",1,0,1,0.707106781186548,0.004,0.0848,"sq75"
