"","row","col","id","fullname","sample","full_site","island","site","zone","site_zone"
"D12","D",12,"D12","MSEO_D12",626,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"D3","D",3,"D3","MNWO_D3",117,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"D4","D",4,"D4","MNWO_D4",175,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"D5","D",5,"D5","TI_D5",505,"Tahiti Inner","Tahiti","TNW","in","TI"
"D6","D",6,"D6","TI_D6",530,"Tahiti Inner","Tahiti","TNW","in","TI"
"D7","D",7,"D7","TO_D7",394,"Tahiti Outer","Tahiti","TNW","out","TO"
"D8","D",8,"D8","TO_D8",416,"Tahiti Outer","Tahiti","TNW","out","TO"
"D9","D",9,"D9","MSEI_D9",301,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"E1","E",1,"E1","MNWI_E1",63,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"E10","E",10,"E10","MSEI_E10",316,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"E11","E",11,"E11","MSEO_E11",609,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"E12","E",12,"E12","MSEO_E12",627,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"E2","E",2,"E2","MNWI_E2",96,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"E3","E",3,"E3","MNWO_E3",130,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"E4","E",4,"E4","MNWO_E4",177,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"E5","E",5,"E5","TI_E5",511,"Tahiti Inner","Tahiti","TNW","in","TI"
"E6","E",6,"E6","TI_E6",533,"Tahiti Inner","Tahiti","TNW","in","TI"
"E7","E",7,"E7","TO_E7",397,"Tahiti Outer","Tahiti","TNW","out","TO"
"E8","E",8,"E8","TO_E8",418,"Tahiti Outer","Tahiti","TNW","out","TO"
"E9","E",9,"E9","MSEI_E9",303,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"F1","F",1,"F1","MNWI_F1",65,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"F10","F",10,"F10","MSEI_F10",351,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"F11","F",11,"F11","MSEO_F11",612,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"F12","F",12,"F12","MSEO_F12",630,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"F2","F",2,"F2","MNWI_F2",97,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"F3","F",3,"F3","MNWO_F3",157,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"F4","F",4,"F4","MNWO_F4",178,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"F5","F",5,"F5","TI_F5",513,"Tahiti Inner","Tahiti","TNW","in","TI"
"F6","F",6,"F6","TI_F6",539,"Tahiti Inner","Tahiti","TNW","in","TI"
"F7","F",7,"F7","TO_F7",400,"Tahiti Outer","Tahiti","TNW","out","TO"
"F8","F",8,"F8","TO_F8",421,"Tahiti Outer","Tahiti","TNW","out","TO"
"G1","G",1,"G1","MNWI_G1",70,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"G10","G",10,"G10","MSEI_G10",377,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"G11","G",11,"G11","MSEO_G11",614,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"G12","G",12,"G12","MSEO_G12",632,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"G2","G",2,"G2","MNWI_G2",98,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"G3","G",3,"G3","MNWO_G3",158,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"G4","G",4,"G4","MNWO_G4",179,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"G5","G",5,"G5","TI_G5",516,"Tahiti Inner","Tahiti","TNW","in","TI"
"G6","G",6,"G6","TI_G6",540,"Tahiti Inner","Tahiti","TNW","in","TI"
"G7","G",7,"G7","TO_G7",402,"Tahiti Outer","Tahiti","TNW","out","TO"
"G8","G",8,"G8","TO_G8",425,"Tahiti Outer","Tahiti","TNW","out","TO"
"G9","G",9,"G9","MSEI_G9",305,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"H1","H",1,"H1","MNWI_H1",72,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"H10","H",10,"H10","MSEI_H10",378,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"H11","H",11,"H11","MSEO_H11",616,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"H12","H",12,"H12","MSEO_H12",633,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"H2","H",2,"H2","MNWI_H2",101,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"H3","H",3,"H3","MNWO_H3",159,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"H6","H",6,"H6","TI_H6",545,"Tahiti Inner","Tahiti","TNW","in","TI"
"H7","H",7,"H7","TO_H7",405,"Tahiti Outer","Tahiti","TNW","out","TO"
"H8","H",8,"H8","TO_H8",427,"Tahiti Outer","Tahiti","TNW","out","TO"
"H9","H",9,"H9","MSEI_H9",307,"Moorea SE Inner","Moorea","MSE","in","MSEI"
