sq_OTU,A1,A10,A11,A12,A2,A3,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
sq16,192,509,316,0,155,313,0,0,0,0,0,0,0,377,0,141,92,127,0,134,0,0,0,0,236,133,46,622,0,0,0,207,0,208,0,418,265,0,0,0,0,157,0,49,444,0,127,0,0,0,0,0,60,88,0,0,384,173,381,204,313,0,323,0,0,0,0,0,0,0,274,363,94,0,256,0,0,102,0,0,427,197,251,241,0,251,406,0,132,0,0,0,0
sq17,138,129,62,125,0,48,109,134,0,166,64,0,138,117,118,0,0,145,38,0,174,203,217,37,0,218,0,118,60,280,33,147,65,82,93,194,189,154,166,56,101,40,31,163,43,246,122,60,122,0,43,79,58,48,128,180,547,162,184,25,37,0,125,57,130,155,260,91,0,74,179,153,130,0,78,94,167,52,14,185,144,207,130,112,97,0,111,75,84,47,117,123,110
sq18,28,0,194,0,115,0,0,87,59,0,48,703,29,103,7,343,107,167,0,103,55,108,299,0,380,0,189,26,0,0,118,130,0,210,0,0,246,0,299,0,239,0,0,267,191,0,0,0,0,122,1836,94,0,23,0,0,0,53,0,127,0,0,108,67,79,264,0,0,0,97,11,64,122,90,49,7,0,177,0,45,0,57,62,209,0,44,0,0,41,153,0,0,5
sq19,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,1897,0,0,0,0,0,0,0,0,0,0,4546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0
sq20,0,27,254,412,0,0,264,0,0,0,0,0,678,413,29,0,0,0,0,0,0,0,75,0,0,24,0,0,0,87,23,0,10,0,0,0,0,257,0,17,55,0,0,12,0,0,231,27,126,0,0,34,9,216,0,75,0,0,77,65,207,0,0,0,273,1106,22,0,0,0,0,173,129,0,0,0,0,284,0,56,0,0,9,1599,231,0,0,0,0,36,0,0,2
sq22,0,0,0,28,0,0,0,20,65,0,100,0,0,64,10,0,0,58,101,34,0,0,86,0,23,0,0,0,0,0,16,0,247,109,0,0,0,0,0,0,0,3309,0,0,0,0,0,0,0,0,0,0,261,274,0,0,52,0,0,6,0,0,0,0,25,0,0,0,0,0,0,0,48,0,0,0,54,30,0,0,65,0,0,0,1503,0,0,0,28,0,0,0,30
sq23,6,61,163,29,237,161,96,0,25,39,0,59,151,90,0,263,61,46,0,45,122,0,62,4,0,41,156,26,56,147,19,4,8,28,37,76,71,0,0,69,133,23,0,156,68,0,181,0,51,61,101,88,92,0,0,214,11,31,56,23,115,92,226,88,503,98,4,97,0,76,0,150,224,133,13,49,0,0,160,125,20,33,0,132,96,101,28,0,107,28,12,71,32
sq24,26,322,0,23,54,88,18,50,27,18,14,108,61,26,13,59,54,139,24,43,48,87,61,21,31,47,16,47,86,132,38,133,38,71,123,241,110,101,43,90,50,36,100,0,79,71,43,51,71,64,14,59,0,23,26,29,53,30,59,17,77,237,47,24,89,48,101,85,0,68,32,186,58,145,0,25,120,34,154,0,58,109,75,66,38,0,4,13,7,28,39,64,31
sq26,30,84,48,47,0,0,96,0,53,292,4,24,37,157,11,85,0,129,31,996,0,41,62,0,75,0,32,0,0,43,0,23,105,24,0,0,85,0,36,0,231,42,0,64,255,34,0,9,77,79,0,41,173,111,47,0,141,0,54,42,0,241,122,50,54,51,116,0,0,90,0,0,47,67,88,0,0,83,69,0,28,105,6,44,0,14,38,0,16,48,0,23,0
sq29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,375,2121,0,0,0,0,0,0,0,0,0,0,2465,44,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq30,0,0,0,13,120,20,0,0,0,0,0,77,0,0,0,1327,0,0,0,0,0,0,0,83,0,0,412,0,23,20,0,0,0,0,1501,0,0,0,0,32,0,0,0,0,0,842,0,0,0,54,0,0,0,0,0,0,0,58,0,0,0,154,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,38,0,0,0,0,0,0,0
sq31,0,0,0,37,0,9,0,0,0,0,0,0,0,0,0,0,297,53,0,0,0,69,99,0,0,0,0,537,0,0,16,30,0,41,0,0,0,35,709,0,0,0,0,0,724,0,0,0,0,280,0,0,0,0,0,0,0,0,4,0,0,1720,0,0,0,0,2,0,0,0,0,0,0,78,0,0,0,0,84,0,0,0,0,56,0,27,0,0,0,0,0,0,0
sq32,54,570,193,60,143,0,36,0,0,60,0,9,81,231,0,83,44,17,10,18,33,0,27,0,36,191,0,36,0,163,3,0,33,0,56,39,0,0,47,0,92,0,0,44,0,0,0,0,46,0,18,0,44,9,29,27,48,39,27,0,44,74,141,59,202,33,0,0,0,74,18,61,65,0,0,16,54,24,0,120,34,109,3,306,153,0,222,0,0,66,10,41,25
