"","id","Observed","Shannon","InvSimpson","row","col","fullname","sample","full_site","island","site","zone","site_zone"
"42","E10",65,1.88090314920071,4.17273621091791,"E",10,"MSEI_E10",316,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"43","E11",86,1.9184157504603,4.09949286995703,"E",11,"MSEO_E11",609,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"44","E12",63,2.06947936043968,4.84879993885125,"E",12,"MSEO_E12",627,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"45","E2",83,2.29190994941605,4.16997368746603,"E",2,"MNWI_E2",96,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"46","E3",73,2.7945973617191,9.37728937728938,"E",3,"MNWO_E3",130,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"47","E4",76,2.43186262963569,6.08357102915602,"E",4,"MNWO_E4",177,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"48","E5",61,0.957716312575007,1.52738667957591,"E",5,"TI_E5",511,"Tahiti Inner","Tahiti","TNW","in","TI"
"49","E6",66,1.62962123575478,3.16187703776388,"E",6,"TI_E6",533,"Tahiti Inner","Tahiti","TNW","in","TI"
"50","E7",33,1.25653986246413,2.403255289398,"E",7,"TO_E7",397,"Tahiti Outer","Tahiti","TNW","out","TO"
"51","E9",41,1.43014354465374,2.77243762650691,"E",9,"MSEI_E9",303,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"52","F1",46,1.7634049827081,3.24419633551803,"F",1,"MNWI_F1",65,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"53","F10",67,1.51047108064649,3.05762333231597,"F",10,"MSEI_F10",351,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"54","F11",83,2.15030585531623,5.90962314825652,"F",11,"MSEO_F11",612,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"55","F12",67,1.8349953892296,3.69794468747873,"F",12,"MSEO_F12",630,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"56","F2",112,2.71083564109526,4.96435934735774,"F",2,"MNWI_F2",97,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"57","F3",103,2.25619855344042,4.25537045482109,"F",3,"MNWO_F3",157,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"58","F4",70,1.89461090663875,3.76724909558552,"F",4,"MNWO_F4",178,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"59","F5",60,2.00450817520066,4.43644022993577,"F",5,"TI_F5",513,"Tahiti Inner","Tahiti","TNW","in","TI"
"60","F6",42,1.55455734607842,2.76532984604756,"F",6,"TI_F6",539,"Tahiti Inner","Tahiti","TNW","in","TI"
"61","F7",40,1.32798080009466,2.49343689315547,"F",7,"TO_F7",400,"Tahiti Outer","Tahiti","TNW","out","TO"
"62","F8",43,1.39584935843777,2.54519110532064,"F",8,"TO_F8",421,"Tahiti Outer","Tahiti","TNW","out","TO"
"63","G1",76,2.31399006110801,5.2492692033031,"G",1,"MNWI_G1",70,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"64","G10",34,1.50366855527002,3.69558273668065,"G",10,"MSEI_G10",377,"Moorea SE Inner","Moorea","MSE","in","MSEI"
