"","x"
"1","Acidovorax"
"2","Curvibacter"
"3","Endozoicomonas"
"4","Enhydrobacter"
"5","Family_Simkaniaceae"
"6","Kingdom_Bacteria"
"7","Lacibacter*"
"8","Order_Obscuribacterales"
"9","Phreatobacter*"
"10","Pseudomonas"
"11","Rubrobacter"
